 | azW:1.039 | Still:0 | State:2
V:-0.002 | P:-0.011 | AccMag:1.027 | azW:1.027 | Still:0 | State:3
V:0.000 | P:-0.011 | AccMag:1.031 | azW:1.031 | Still:0 | State:3
V:0.000 | P:-0.011 | AccMag:1.043 | azW:1.043 | Still:0 | State:3
V:0.002 | P:-0.011 | AccMag:1.043 | azW:1.043 | Still:0 | State:3
V:0.005 | P:-0.011 | AccMag:1.048 | azW:1.048 | Still:0 | State:3
V:0.008 | P:-0.011 | AccMag:1.040 | azW:1.040 | Still:0 | State:3
V:0.010 | P:-0.011 | AccMag:1.022 | azW:1.022 | Still:0 | State:3
V:0.010 | P:-0.011 | AccMag:1.025 | azW:1.025 | Still:0 | State:3
V:0.009 | P:-0.010 | AccMag:1.023 | azW:1.023 | Still:0 | State:3
V:0.009 | P:-0.010 | AccMag:1.041 | azW:1.040 | Still:0 | State:3
V:0.010 | P:-0.010 | AccMag:1.039 | azW:1.039 | Still:0 | State:3
V:0.011 | P:-0.010 | AccMag:1.022 | azW:1.022 | Still:0 | State:3
V:0.010 | P:-0.010 | AccMag:1.027 | azW:1.027 | Still:0 | State:3
V:0.000 | P:-0.009 | AccMag:1.035 | azW:1.035 | Still:1 | State:3
V:0.000 | P:-0.009 | AccMag:1.050 | azW:1.050 | Still:1 | State:3
V:0.000 | P:-0.009 | AccMag:1.037 | azW:1.037 | Still:1 | State:3
V:0.000 | P:-0.009 | AccMag:1.027 | azW:1.027 | Still:1 | State:3
V:0.000 | P:-0.009 | AccMag:1.033 | azW:1.033 | Still:1 | State:3
>>> INVALID REP
>>> STATE: ECCENTRIC
V:0.000 | P:-0.009 | AccMag:1.044 | azW:1.044 | Still:1 | State:2
V:0.000 | P:-0.009 | AccMag:1.037 | azW:1.037 | Still:1 | State:2
V:0.000 | P:-0.009 | AccMag:1.035 | azW:1.035 | Still:1 | State:2
V:0.000 | P:-0.009 | AccMag:1.024 | azW:1.024 | Still:1 | State:2
V:0.000 | P:-0.009 | AccMag:1.038 | azW:1.038 | Still:1 | State:2
V:0.000 | P:-0.009 | AccMag:1.037 | azW:1.037 | Still:1 | State:2
V:0.000 | P:-0.009 | AccMag:1.023 | azW:1.023 | Still:1 | State:2
V:-0.001 | P:-0.009 | AccMag:1.019 | azW:1.019 | Still:0 | State:2
V:-0.002 | P:-0.009 | AccMag:1.035 | azW:1.035 | Still:0 | State:2
V:-0.002 | P:-0.009 | AccMag:1.019 | azW:1.019 | Still:0 | State:2
V:-0.003 | P:-0.010 | AccMag:1.040 | azW:1.040 | Still:0 | State:2
V:-0.004 | P:-0.010 | AccMag:1.029 | azW:1.029 | Still:0 | State:2
V:-0.003 | P:-0.010 | AccMag:1.041 | azW:1.041 | Still:0 | State:2
V:-0.002 | P:-0.010 | AccMag:1.052 | azW:1.052 | Still:0 | State:2
V:0.001 | P:-0.010 | AccMag:1.035 | azW:1.035 | Still:0 | State:2
V:0.002 | P:-0.010 | AccMag:1.033 | azW:1.033 | Still:0 | State:2
V:0.003 | P:-0.010 | AccMag:1.035 | azW:1.035 | Still:0 | State:2
V:0.004 | P:-0.010 | AccMag:1.027 | azW:1.027 | Still:0 | State:2
V:-0.000 | P:-0.000 | AccMag:1.026 | azW:1.026 | Still:0 | State:2
V:-0.000 | P:-0.000 | AccMag:1.019 | azW:1.019 | Still:0 | State:2
V:-0.002 | P:-0.000 | AccMag:1.023 | azW:1.023 | Still:0 | State:2
V:0.000 | P:0.000 | AccMag:1.027 | azW:1.027 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.029 | azW:1.029 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.029 | azW:1.029 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.030 | azW:1.030 | Still:0 | State:2
V:0.000 | P:0.000 | AccMag:1.029 | azW:1.029 | Still:0 | State:2
V:-0.000 | P:0.000 | AccMag:1.028 | azW:1.028 | Still:0 | State:2
V:-0.000 | P:-0.000 | AccMag:1.047 | azW:1.046 | Still:0 | State:2
V:0.001 | P:0.000 | AccMag:1.049 | azW:1.049 | Still:0 | State:2
V:0.004 | P:0.000 | AccMag:1.044 | azW:1.044 | Still:0 | State:2
V:0.007 | P:0.000 | AccMag:1.047 | azW:1.047 | Still:0 | State:2
V:0.010 | P:0.000 | AccMag:1.029 | azW:1.029 | Still:0 | State:2
V:0.011 | P:0.001 | AccMag:1.026 | azW:1.026 | Still:0 | State:2
V:0.011 | P:0.001 | AccMag:1.042 | azW:1.042 | Still:0 | State:2
V:0.012 | P:0.001 | AccMag:1.041 | azW:1.041 | Still:0 | State:2
V:0.014 | P:0.001 | AccMag:1.033 | azW:1.033 | Still:0 | State:2
V:0.015 | P:0.002 | AccMag:1.041 | azW:1.041 | Still:0 | State:2
V:0.000 | P:0.000 | AccMag:1.045 | azW:1.045 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.031 | azW:1.031 | Still:0 | State:2
V:0.000 | P:0.000 | AccMag:1.026 | azW:1.026 | Still:0 | State:2
V:-0.000 | P:0.000 | AccMag:1.023 | azW:1.023 | Still:0 | State:2
V:-0.001 | P:-0.000 | AccMag:1.028 | azW:1.028 | Still:0 | State:2
V:-0.002 | P:-0.000 | AccMag:1.024 | azW:1.024 | Still:0 | State:2
V:-0.002 | P:-0.000 | AccMag:1.032 | azW:1.032 | Still:0 | State:2
V:-0.002 | P:-0.000 | AccMag:1.039 | azW:1.039 | Still:0 | State:2
V:-0.001 | P:-0.000 | AccMag:1.029 | azW:1.029 | Still:0 | State:2
V:0.000 | P:0.000 | AccMag:1.031 | azW:1.031 | Still:0 | State:2
V:-0.000 | P:-0.000 | AccMag:1.021 | azW:1.021 | Still:0 | State:2
V:-0.001 | P:-0.000 | AccMag:1.034 | azW:1.034 | Still:0 | State:2
V:-0.001 | P:-0.000 | AccMag:1.038 | azW:1.038 | Still:0 | State:2
V:0.000 | P:0.000 | AccMag:1.030 | azW:1.030 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.033 | azW:1.033 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.035 | azW:1.035 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.038 | azW:1.038 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.033 | azW:1.033 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.031 | azW:1.031 | Still:0 | State:2
V:-0.000 | P:0.000 | AccMag:1.017 | azW:1.017 | Still:0 | State:2
V:-0.002 | P:-0.000 | AccMag:1.021 | azW:1.021 | Still:0 | State:2
V:-0.004 | P:-0.000 | AccMag:1.016 | azW:1.016 | Still:0 | State:2
V:-0.006 | P:-0.000 | AccMag:1.007 | azW:1.007 | Still:0 | State:2
V:-0.010 | P:-0.000 | AccMag:1.028 | azW:1.028 | Still:0 | State:2
V:-0.012 | P:-0.001 | AccMag:1.037 | azW:1.037 | Still:0 | State:2
V:-0.011 | P:-0.001 | AccMag:1.043 | azW:1.043 | Still:0 | State:2
V:-0.009 | P:-0.001 | AccMag:1.042 | azW:1.042 | Still:0 | State:2
